Model,series,PP,TP,ttft_s,tput,alpha,N_L,N_T,n_instances,lambda_tok_s
Llama2-13B,dda,,2,0.946,2853.6,0.51,14.0,18.0,7.0,3318.6
Llama2-13B,dda,,2,0.946,2853.6,0.52,14.0,18.0,7.0,3318.6
Llama2-13B,dda,,2,0.946,2853.6,0.53,14.0,18.0,7.0,3318.6
Llama2-13B,dda,,2,0.946,2853.6,0.54,14.0,18.0,7.0,3318.6
Llama2-13B,dda,,2,0.946,2853.6,0.55,14.0,18.0,7.0,3318.6
Llama2-13B,dda,,2,0.946,2853.6,0.56,14.0,18.0,7.0,3318.6
Llama2-13B,dda,,2,0.946,2853.6,0.57,16.0,16.0,8.0,3318.6
Llama2-13B,dda,,2,0.946,2853.6,0.58,16.0,16.0,8.0,3318.6
Llama2-13B,dda,,2,0.946,2853.6,0.59,16.0,16.0,8.0,3318.6
Llama2-13B,dda,,2,0.946,2853.6,0.6,16.0,16.0,8.0,3318.6
Llama2-13B,dda,,2,0.946,2853.6,0.61,16.0,16.0,8.0,3318.6
Llama2-13B,dda,,2,0.946,2853.6,0.62,16.0,16.0,8.0,3318.6
Llama2-13B,dda,,2,0.946,2853.6,0.63,16.0,16.0,8.0,3318.6
Llama2-13B,dda,,2,0.946,2853.6,0.64,16.0,16.0,8.0,3318.6
Llama2-13B,dda,,2,0.946,2853.6,0.65,18.0,14.0,9.0,3318.6
Llama2-13B,dda,,2,0.946,2853.6,0.66,18.0,14.0,9.0,3318.6
Llama2-13B,dda,,2,0.946,2853.6,0.67,18.0,14.0,9.0,3318.6
Llama2-13B,dda,,2,0.946,2853.6,0.68,18.0,14.0,9.0,3318.6
Llama2-13B,dda,,2,0.946,2853.6,0.69,18.0,14.0,9.0,3318.6
Llama2-13B,dda,,2,0.946,2853.6,0.7,18.0,14.0,9.0,3318.6
Llama2-13B,dda,,2,0.946,2853.6,0.71,18.0,14.0,9.0,3318.6
Llama2-13B,dda,,2,0.946,2853.6,0.72,18.0,14.0,9.0,3318.6
Llama2-13B,dda,,2,0.946,2853.6,0.73,18.0,14.0,9.0,3318.6
Llama2-13B,dda,,2,0.946,2269.2,0.74,20.0,12.0,10.0,3318.6
Llama2-13B,dda,,2,0.946,2269.2,0.75,20.0,12.0,10.0,3318.6
Llama2-13B,dda,,2,0.946,2269.2,0.76,20.0,12.0,10.0,3318.6
Llama2-13B,dda,,2,0.946,2269.2,0.77,20.0,12.0,10.0,3318.6
Llama2-13B,dda,,2,0.946,2269.2,0.78,20.0,12.0,10.0,3318.6
Llama2-13B,dda,,2,0.946,2269.2,0.79,20.0,12.0,10.0,3318.6
Llama2-13B,dda,,2,0.946,2269.2,0.8,20.0,12.0,10.0,3318.6
Llama2-13B,dda,,2,0.946,2269.2,0.81,20.0,12.0,10.0,3318.6
Llama2-13B,dda,,2,0.946,2269.2,0.82,22.0,10.0,11.0,3318.6
Llama2-13B,dda,,2,0.946,2269.2,0.83,22.0,10.0,11.0,3318.6
Llama2-13B,dda,,2,0.946,2269.2,0.84,22.0,10.0,11.0,3318.6
Llama2-13B,dda,,2,0.946,2269.2,0.85,22.0,10.0,11.0,3318.6
Llama2-13B,dda,,2,0.946,2269.2,0.86,22.0,10.0,11.0,3318.6
Llama2-13B,dda,,2,0.946,2269.2,0.87,22.0,10.0,11.0,3318.6
Llama2-13B,dda,,2,0.946,2269.2,0.88,22.0,10.0,11.0,3318.6
Llama2-13B,dda,,2,0.946,2269.2,0.89,22.0,10.0,11.0,3318.6
Llama2-70B,cent32static,1,32,1.80897638875,120.93847549390112,,,,,
Llama2-70B,cent32static,2,16,1.8906673596874999,234.63296505726404,,,,,
Llama2-70B,cent32static,4,8,2.13561078265625,430.59833327066826,,,,,
Llama2-70B,cent32static,8,4,2.70114264890625,719.1107182641175,,,,,
Llama2-70B,cent32static,16,2,3.839420520859375,1077.4137112567607,,,,,
Llama2-70B,cent32static,80,1,17.820087036484374,1251.8668680204723,,,,,
Llama2-70B,native,1,32,1.80897638875,120.93847549390112,,,,,
Llama2-70B,native,2,16,1.8906673596874999,234.63296505726404,,,,,
Llama2-70B,native,4,8,2.13561078265625,430.59833327066826,,,,,
Llama2-70B,native,8,4,2.70114264890625,719.1107182641175,,,,,
Llama2-70B,native,16,2,3.839420520859375,1077.4137112567607,,,,,
Llama2-70B,native,80,1,17.820087036484374,1251.8668680204723,,,,,
Llama2-70B,dda,,9,2.143,1010.9,0.02,9.0,23.0,1.0,117.7
Llama2-70B,dda,,9,2.143,1010.9,0.03,9.0,23.0,1.0,117.7
Llama2-70B,dda,,9,2.143,1010.9,0.04,9.0,23.0,1.0,117.7
Llama2-70B,dda,,9,2.143,1010.9,0.05,9.0,23.0,1.0,117.7
Llama2-70B,dda,,9,2.143,1010.9,0.06,9.0,23.0,1.0,117.7
Llama2-70B,dda,,9,2.143,1010.9,0.07,9.0,23.0,1.0,117.7
Llama2-70B,dda,,9,2.143,1010.9,0.08,9.0,23.0,1.0,117.7
Llama2-70B,dda,,9,2.143,1010.9,0.09,9.0,23.0,1.0,117.7
Llama2-70B,dda,,9,2.143,1010.9,0.1,9.0,23.0,1.0,117.7
Llama2-70B,dda,,9,2.143,1010.9,0.11,9.0,23.0,1.0,117.7
Llama2-70B,dda,,9,2.143,1010.9,0.12,9.0,23.0,1.0,117.7
Llama2-70B,dda,,9,2.143,1010.9,0.13,9.0,23.0,1.0,117.7
Llama2-70B,dda,,9,2.143,1010.9,0.14,9.0,23.0,1.0,117.7
Llama2-70B,dda,,9,2.143,1010.9,0.15,9.0,23.0,1.0,117.7
Llama2-70B,dda,,9,2.143,1010.9,0.16,9.0,23.0,1.0,117.7
Llama2-70B,dda,,9,2.143,1010.9,0.17,9.0,23.0,1.0,117.7
Llama2-70B,dda,,9,2.143,1010.9,0.18,9.0,23.0,1.0,117.7
Llama2-70B,dda,,9,2.143,1010.9,0.19,9.0,23.0,1.0,117.7
Llama2-70B,dda,,9,2.143,1010.9,0.2,9.0,23.0,1.0,117.7
Llama2-70B,dda,,9,2.143,1010.9,0.21,9.0,23.0,1.0,117.7
