Model,alpha,N_L,N_T,lambda_max,Tput_L,Tput_T,TTFT_short_s,bottleneck
Llama2-7B,0.93,22,10,614.2,571.3,3000.3,0.629,PoolL
Llama2-7B,0.94,22,10,607.7,571.3,3000.3,0.629,PoolL
Llama2-7B,0.95,22,10,601.3,571.3,3000.3,0.629,PoolL
Llama2-7B,0.96,22,10,595.1,571.3,3000.3,0.629,PoolL
Llama2-7B,0.97,22,10,588.9,571.3,3000.3,0.629,PoolL
Llama2-7B,0.98,22,10,582.9,571.3,3000.3,0.629,PoolL
Llama2-13B,0.02,2,30,4189.2,250.4,4105.4,1.53,PoolT
Llama2-13B,0.03,2,30,4232.4,250.4,4105.4,1.53,PoolT
Llama2-13B,0.04,2,30,4276.5,250.4,4105.4,1.53,PoolT
Llama2-13B,0.05,2,30,4321.5,250.4,4105.4,1.53,PoolT
Llama2-13B,0.06,4,28,4367.5,302.7,4105.4,1.226,PoolT
Llama2-13B,0.07,6,26,4414.5,329.7,4105.4,1.102,PoolT
Llama2-13B,0.08,10,22,4462.4,358.8,4105.4,0.989,PoolT
Llama2-13B,0.09,10,22,3986.6,358.8,4105.4,0.989,PoolL
Llama2-13B,0.1,10,22,3587.9,358.8,4105.4,0.989,PoolL
Llama2-13B,0.11,10,22,3261.7,358.8,4105.4,0.989,PoolL
Llama2-13B,0.12,14,18,3026.8,365.7,2663.6,0.963,PoolT
Llama2-13B,0.13,18,14,2821.9,366.8,2663.6,0.959,PoolL
Llama2-13B,0.14,18,14,2620.3,366.8,2663.6,0.959,PoolL
Llama2-13B,0.15,18,14,2445.6,366.8,2663.6,0.959,PoolL
Llama2-13B,0.16,18,14,2292.8,366.8,2663.6,0.959,PoolL
Llama2-13B,0.17,18,14,2157.9,366.8,2663.6,0.959,PoolL
Llama2-13B,0.18,18,14,2038.0,366.8,2663.6,0.959,PoolL
Llama2-13B,0.19,18,14,1930.7,366.8,2663.6,0.959,PoolL
Llama2-13B,0.2,18,14,1834.2,366.8,2663.6,0.959,PoolL
Llama2-13B,0.21,18,14,1746.9,366.8,2663.6,0.959,PoolL
Llama2-13B,0.22,18,14,1667.5,366.8,2663.6,0.959,PoolL
Llama2-13B,0.23,18,14,1595.0,366.8,2663.6,0.959,PoolL
Llama2-13B,0.24,18,14,1528.5,366.8,2663.6,0.959,PoolL
Llama2-13B,0.25,18,14,1467.4,366.8,2663.6,0.959,PoolL
Llama2-13B,0.26,18,14,1410.9,366.8,2663.6,0.959,PoolL
Llama2-13B,0.27,18,14,1358.7,366.8,2663.6,0.959,PoolL
Llama2-13B,0.28,18,14,1310.1,366.8,2663.6,0.959,PoolL
Llama2-13B,0.29,18,14,1265.0,366.8,2663.6,0.959,PoolL
Llama2-13B,0.3,18,14,1222.8,366.8,2663.6,0.959,PoolL
Llama2-13B,0.31,18,14,1183.4,366.8,2663.6,0.959,PoolL
Llama2-13B,0.32,18,14,1146.4,366.8,2663.6,0.959,PoolL
Llama2-13B,0.33,18,14,1111.6,366.8,2663.6,0.959,PoolL
Llama2-13B,0.34,18,14,1078.9,366.8,2663.6,0.959,PoolL
Llama2-13B,0.35,18,14,1048.1,366.8,2663.6,0.959,PoolL
Llama2-13B,0.36,18,14,1019.0,366.8,2663.6,0.959,PoolL
Llama2-13B,0.37,18,14,991.5,366.8,2663.6,0.959,PoolL
Llama2-13B,0.38,18,14,965.4,366.8,2663.6,0.959,PoolL
Llama2-13B,0.39,18,14,940.6,366.8,2663.6,0.959,PoolL
Llama2-13B,0.4,18,14,917.1,366.8,2663.6,0.959,PoolL
Llama2-13B,0.41,18,14,894.7,366.8,2663.6,0.959,PoolL
Llama2-13B,0.42,18,14,873.4,366.8,2663.6,0.959,PoolL
Llama2-13B,0.43,18,14,853.1,366.8,2663.6,0.959,PoolL
Llama2-13B,0.44,18,14,833.7,366.8,2663.6,0.959,PoolL
Llama2-13B,0.45,18,14,815.2,366.8,2663.6,0.959,PoolL
Llama2-13B,0.46,18,14,797.5,366.8,2663.6,0.959,PoolL
Llama2-13B,0.47,18,14,780.5,366.8,2663.6,0.959,PoolL
Llama2-13B,0.48,18,14,764.3,366.8,2663.6,0.959,PoolL
Llama2-13B,0.49,18,14,748.7,366.8,2663.6,0.959,PoolL
Llama2-13B,0.5,18,14,733.7,366.8,2663.6,0.959,PoolL
Llama2-13B,0.51,18,14,719.3,366.8,2663.6,0.959,PoolL
Llama2-13B,0.52,18,14,705.5,366.8,2663.6,0.959,PoolL
Llama2-13B,0.53,18,14,692.2,366.8,2663.6,0.959,PoolL
Llama2-13B,0.54,18,14,679.3,366.8,2663.6,0.959,PoolL
Llama2-13B,0.55,18,14,667.0,366.8,2663.6,0.959,PoolL
Llama2-13B,0.56,18,14,655.1,366.8,2663.6,0.959,PoolL
Llama2-13B,0.57,18,14,643.6,366.8,2663.6,0.959,PoolL
Llama2-13B,0.58,18,14,632.5,366.8,2663.6,0.959,PoolL
Llama2-13B,0.59,18,14,621.8,366.8,2663.6,0.959,PoolL
Llama2-13B,0.6,18,14,611.4,366.8,2663.6,0.959,PoolL
Llama2-13B,0.61,18,14,601.4,366.8,2663.6,0.959,PoolL
Llama2-13B,0.62,18,14,591.7,366.8,2663.6,0.959,PoolL
Llama2-13B,0.63,18,14,582.3,366.8,2663.6,0.959,PoolL
Llama2-13B,0.64,18,14,573.2,366.8,2663.6,0.959,PoolL
Llama2-13B,0.65,18,14,564.4,366.8,2663.6,0.959,PoolL
