Model,N_L,N_T,n_instances,TP_per_instance,Tput_L,Tput_T,system_tput,TTFT_L_s,req_lat_T_packed_s,req_lat_T_cent_s,packing_gain_pct,cpb_ceil,cpb_floor,idle_T,kv_slack_L,kv_slack_T,C_max_4096_T,C_need_T,saturated,alpha_req,alpha_tok,lambda_tok_s,load_L,load_T,lambda_max,headroom_ratio,ttft_bar_s,meets_load,meets_kv,unsaturated,in_eps_band,selectable,is_best
Llama2-7B,20,12,5,4,2697.9,3991.7,6689.6,0.458,15.444,16.931,8.8,10,16,1,25.725,2.312,74.0,32,False,0.05,0.05,609.3,30.5,578.8,4201.8,6.896,0.4848,True,True,True,True,True,False
Llama2-7B,20,12,4,5,2192.5,3991.7,6184.2,0.45,15.444,16.931,8.8,10,16,1,33.725,2.312,74.0,32,False,0.05,0.05,609.3,30.5,578.8,4201.8,6.896,0.4848,True,True,True,True,True,False
Llama2-7B,20,12,2,10,1191.9,3991.7,5183.6,0.406,15.444,16.931,8.8,10,16,1,73.725,2.312,74.0,32,True,0.05,0.05,609.3,30.5,578.8,4201.8,6.896,0.4848,True,True,False,True,False,False
Llama2-7B,20,12,1,20,596.2,3991.7,4587.9,0.406,15.444,16.931,8.8,10,16,1,153.725,2.312,74.0,32,True,0.05,0.05,609.3,30.5,578.8,4201.8,6.896,0.4848,True,True,False,True,False,False
Llama2-7B,21,11,21,1,7043.4,3991.7,11035.1,0.782,16.559,16.931,2.2,10,16,0,1.725,2.312,74.0,32,False,0.05,0.05,609.3,30.5,578.8,4201.8,6.896,0.4848,True,True,True,False,True,False
Llama2-7B,21,11,7,3,3464.6,3991.7,7456.3,0.507,16.559,16.931,2.2,10,16,0,17.725,2.312,74.0,32,False,0.05,0.05,609.3,30.5,578.8,4201.8,6.896,0.4848,True,True,True,False,True,False
Llama2-7B,21,11,3,7,1663.4,3991.7,5655.1,0.446,16.559,16.931,2.2,10,16,0,49.725,2.312,74.0,32,False,0.05,0.05,609.3,30.5,578.8,4201.8,6.896,0.4848,True,True,True,True,True,False
Llama2-7B,21,11,1,21,592.8,3991.7,4584.5,0.409,16.559,16.931,2.2,10,16,0,161.725,2.312,74.0,32,True,0.05,0.05,609.3,30.5,578.8,4201.8,6.896,0.4848,True,True,False,True,False,False
Llama2-7B,22,10,22,1,7378.8,3234.5,10613.3,0.782,17.994,20.895,14.1,8,10,2,1.725,1.812,58.0,32,False,0.05,0.05,609.3,30.5,578.8,3404.7,5.588,0.4848,True,True,True,False,True,False
Llama2-7B,22,10,11,2,4962.6,3234.5,8197.1,0.562,17.994,20.895,14.1,8,10,2,9.725,1.812,58.0,32,False,0.05,0.05,609.3,30.5,578.8,3404.7,5.588,0.4848,True,True,True,False,True,False
Llama2-7B,22,10,2,11,1222.6,3234.5,4457.1,0.393,17.994,20.895,14.1,8,10,2,81.725,1.812,58.0,32,True,0.05,0.05,609.3,30.5,578.8,3404.7,5.588,0.4848,True,True,False,True,False,False
Llama2-7B,22,10,1,22,618.7,3234.5,3853.2,0.386,17.994,20.895,14.1,8,10,2,169.725,1.812,58.0,32,True,0.05,0.05,609.3,30.5,578.8,3404.7,5.588,0.4848,True,True,False,True,False,False
Llama2-7B,23,9,23,1,7714.2,3234.5,10948.7,0.782,19.444,20.895,7.1,8,10,1,1.725,1.812,58.0,32,False,0.05,0.05,609.3,30.5,578.8,3404.7,5.588,0.4848,True,True,True,False,True,False
Llama2-7B,23,9,1,23,619.8,3234.5,3854.3,0.386,19.444,20.895,7.1,8,10,1,177.725,1.812,58.0,32,True,0.05,0.05,609.3,30.5,578.8,3404.7,5.588,0.4848,True,True,False,True,False,False
Llama2-7B,24,8,24,1,8049.6,3234.5,11284.1,0.782,20.895,20.895,0.0,8,8,0,1.725,1.812,58.0,32,False,0.05,0.05,609.3,30.5,578.8,3404.7,5.588,0.4848,True,True,True,False,True,False
Llama2-7B,24,8,12,2,5413.8,3234.5,8648.3,0.562,20.895,20.895,0.0,8,8,0,9.725,1.812,58.0,32,False,0.05,0.05,609.3,30.5,578.8,3404.7,5.588,0.4848,True,True,True,False,True,False
Llama2-7B,24,8,8,3,3959.5,3234.5,7194.1,0.507,20.895,20.895,0.0,8,8,0,17.725,1.812,58.0,32,False,0.05,0.05,609.3,30.5,578.8,3404.7,5.588,0.4848,True,True,True,False,True,False
Llama2-7B,24,8,6,4,3237.5,3234.5,6472.0,0.458,20.895,20.895,0.0,8,8,0,25.725,1.812,58.0,32,False,0.05,0.05,609.3,30.5,578.8,3404.7,5.588,0.4848,True,True,True,True,True,False
Llama2-7B,24,8,4,6,2220.3,3234.5,5454.8,0.445,20.895,20.895,0.0,8,8,0,41.725,1.812,58.0,32,False,0.05,0.05,609.3,30.5,578.8,3404.7,5.588,0.4848,True,True,True,True,True,False
Llama2-7B,24,8,3,8,1796.6,3234.5,5031.1,0.404,20.895,20.895,0.0,8,8,0,57.725,1.812,58.0,32,False,0.05,0.05,609.3,30.5,578.8,3404.7,5.588,0.4848,True,True,True,True,True,False
Llama2-7B,24,8,2,12,1215.5,3234.5,4450.0,0.396,20.895,20.895,0.0,8,8,0,89.725,1.812,58.0,32,True,0.05,0.05,609.3,30.5,578.8,3404.7,5.588,0.4848,True,True,False,True,False,False
Llama2-7B,24,8,1,24,617.1,3234.5,3851.6,0.388,20.895,20.895,0.0,8,8,0,185.725,1.812,58.0,32,True,0.05,0.05,609.3,30.5,578.8,3404.7,5.588,0.4848,True,True,False,True,False,False
Llama2-7B,25,7,25,1,8385.0,2453.6,10838.6,0.782,25.115,27.545,8.8,6,8,0,1.725,1.312,42.0,32,False,0.05,0.05,609.3,30.5,578.8,2582.7,4.239,0.4848,True,True,True,False,True,False
Llama2-7B,25,7,5,5,2740.6,2453.6,5194.2,0.45,25.115,27.545,8.8,6,8,0,33.725,1.312,42.0,32,False,0.05,0.05,609.3,30.5,578.8,2582.7,4.239,0.4848,True,True,True,True,True,False
Llama2-7B,25,7,1,25,614.4,2453.6,3068.0,0.39,25.115,27.545,8.8,6,8,0,193.725,1.312,42.0,32,True,0.05,0.05,609.3,30.5,578.8,2582.7,4.239,0.4848,True,True,False,True,False,False
Llama2-7B,26,6,26,1,8720.4,2052.2,10772.6,0.782,29.649,32.932,10.0,5,6,0,1.725,1.062,34.0,32,False,0.05,0.05,609.3,30.5,578.8,2160.2,3.545,0.4848,True,True,True,False,True,False
Llama2-7B,26,6,13,2,5864.9,2052.2,7917.1,0.562,29.649,32.932,10.0,5,6,0,9.725,1.062,34.0,32,False,0.05,0.05,609.3,30.5,578.8,2160.2,3.545,0.4848,True,True,True,False,True,False
Llama2-7B,26,6,2,13,1209.5,2052.2,3261.7,0.398,29.649,32.932,10.0,5,6,0,97.725,1.062,34.0,32,True,0.05,0.05,609.3,30.5,578.8,2160.2,3.545,0.4848,True,True,False,True,False,False
Llama2-7B,26,6,1,26,611.7,2052.2,2663.9,0.392,29.649,32.932,10.0,5,6,0,201.725,1.062,34.0,32,True,0.05,0.05,609.3,30.5,578.8,2160.2,3.545,0.4848,True,True,False,True,False,False
Llama2-7B,1,31,1,1,335.4,6239.1,6574.5,0.782,6.299,10.832,42.3,16,32,15,1.725,3.812,122.0,32,False,0.05,0.05,1218.6,60.9,1157.6,6567.5,5.389,0.4848,True,True,True,False,True,True
Llama2-7B,2,30,2,1,670.8,6239.1,6909.9,0.782,6.602,10.832,39.5,16,32,14,1.725,3.812,122.0,32,False,0.05,0.05,1218.6,60.9,1157.6,6567.5,5.389,0.4848,True,True,True,False,True,False
Llama2-7B,2,30,1,2,451.1,6239.1,6690.3,0.562,6.602,10.832,39.5,16,32,14,9.725,3.812,122.0,32,False,0.05,0.05,1218.6,60.9,1157.6,6567.5,5.389,0.4848,True,True,True,False,True,False
Llama2-7B,3,29,3,1,1006.2,6239.1,7245.3,0.782,6.904,10.832,36.7,16,32,13,1.725,3.812,122.0,32,False,0.05,0.05,1218.6,60.9,1157.6,6567.5,5.389,0.4848,True,True,True,False,True,False
Llama2-7B,3,29,1,3,494.9,6239.1,6734.1,0.507,6.904,10.832,36.7,16,32,13,17.725,3.812,122.0,32,False,0.05,0.05,1218.6,60.9,1157.6,6567.5,5.389,0.4848,True,True,True,False,True,False
Llama2-7B,4,28,4,1,1341.6,6239.1,7580.7,0.782,7.206,10.832,33.9,16,32,12,1.725,3.812,122.0,32,False,0.05,0.05,1218.6,60.9,1157.6,6567.5,5.389,0.4848,True,True,True,False,True,False
Llama2-7B,4,28,2,2,902.3,6239.1,7141.4,0.562,7.206,10.832,33.9,16,32,12,9.725,3.812,122.0,32,False,0.05,0.05,1218.6,60.9,1157.6,6567.5,5.389,0.4848,True,True,True,False,True,False
Llama2-7B,4,28,1,4,539.6,6239.1,6778.7,0.458,7.206,10.832,33.9,16,32,12,25.725,3.812,122.0,32,False,0.05,0.05,1218.6,60.9,1157.6,6567.5,5.389,0.4848,True,True,True,True,True,False
Llama2-7B,5,27,5,1,1677.0,6239.1,7916.1,0.782,7.508,10.832,31.1,16,32,11,1.725,3.812,122.0,32,False,0.05,0.05,1218.6,60.9,1157.6,6567.5,5.389,0.4848,True,True,True,False,True,False
Llama2-7B,5,27,1,5,548.1,6239.1,6787.3,0.45,7.508,10.832,31.1,16,32,11,33.725,3.812,122.0,32,False,0.05,0.05,1218.6,60.9,1157.6,6567.5,5.389,0.4848,True,True,True,True,True,False
Llama2-7B,6,26,6,1,2012.4,6239.1,8251.5,0.782,7.81,10.832,28.2,16,32,10,1.725,3.812,122.0,32,False,0.05,0.05,1218.6,60.9,1157.6,6567.5,5.389,0.4848,True,True,True,False,True,False
Llama2-7B,6,26,3,2,1353.4,6239.1,7592.6,0.562,7.81,10.832,28.2,16,32,10,9.725,3.812,122.0,32,False,0.05,0.05,1218.6,60.9,1157.6,6567.5,5.389,0.4848,True,True,True,False,True,False
Llama2-7B,6,26,2,3,989.9,6239.1,7229.0,0.507,7.81,10.832,28.2,16,32,10,17.725,3.812,122.0,32,False,0.05,0.05,1218.6,60.9,1157.6,6567.5,5.389,0.4848,True,True,True,False,True,False
Llama2-7B,6,26,1,6,555.1,6239.1,6794.2,0.445,7.81,10.832,28.2,16,32,10,41.725,3.812,122.0,32,False,0.05,0.05,1218.6,60.9,1157.6,6567.5,5.389,0.4848,True,True,True,True,True,False
Llama2-7B,7,25,7,1,2347.8,6239.1,8586.9,0.782,8.113,10.832,25.4,16,32,9,1.725,3.812,122.0,32,False,0.05,0.05,1218.6,60.9,1157.6,6567.5,5.389,0.4848,True,True,True,False,True,False
Llama2-7B,7,25,1,7,554.5,6239.1,6793.6,0.446,8.113,10.832,25.4,16,32,9,49.725,3.812,122.0,32,False,0.05,0.05,1218.6,60.9,1157.6,6567.5,5.389,0.4848,True,True,True,True,True,False
