Model,N_L,N_T,n_instances,TP_per_instance,Tput_L,TTFT_L_s,TTFT_L_no_prefill_sampling_s,req_lat_L_s,Tput_T,Tput_T_cent,req_lat_T_packed_s,req_lat_T_cent_s,ttft_T_packed_s,system_tput,idle_T,cpb_ceil,cpb_floor,n_ceil,n_floor,hetero_T,packing_gain_pct,KV_free_per_block_MiB,KV_free_per_L_device_GiB,C_max_4096_T,C_max_mean_T,C_need_T,kv_slack_T,C_max_4096_L,C_need_L,kv_slack_L,kv_feasible,saturated,valid,invalid_reason,cap_floor,TP_sat,min_cpb,prompt_fraction
Llama2-7B,24,8,3,8,1796.6,0.404,0.356,3.527,3234.5,3234.5,20.895,20.895,2.478,5031.1,0,8,8,8,0,False,0.0,3710.0,14.43,58.0,112.4,32,1.812,173.2,3.0,57.725,True,False,True,,1,8,5,0.125
Llama2-7B,24,8,2,12,1215.5,0.396,0.348,3.475,3234.5,3234.5,20.895,20.895,2.478,4450.0,0,8,8,8,0,False,0.0,3710.0,14.95,58.0,112.4,32,1.812,179.4,2.0,89.725,True,True,True,,1,8,5,0.125
Llama2-7B,24,8,1,24,617.1,0.388,0.34,3.423,3234.5,3234.5,20.895,20.895,2.478,3851.6,0,8,8,8,0,False,0.0,3710.0,15.48,58.0,112.4,32,1.812,185.7,1.0,185.725,True,True,True,,1,8,5,0.125
Llama2-7B,25,7,25,1,8385.0,0.782,0.734,6.297,2453.6,2453.6,25.115,27.545,2.993,10838.6,0,6,8,4,3,True,8.8,2686.0,3.45,42.0,81.4,32,1.312,43.1,25.0,1.725,True,False,True,,1,8,5,0.125
Llama2-7B,25,7,5,5,2740.6,0.45,0.402,3.853,2453.6,2453.6,25.115,27.545,2.993,5194.2,0,6,8,4,3,True,8.8,2686.0,13.49,42.0,81.4,32,1.312,168.6,5.0,33.725,True,False,True,,1,8,5,0.125
Llama2-7B,25,7,1,25,614.4,0.39,0.342,3.438,2453.6,2453.6,25.115,27.545,2.993,3068.0,0,6,8,4,3,True,8.8,2686.0,15.5,42.0,81.4,32,1.312,193.7,1.0,193.725,True,True,True,,1,8,5,0.125
Llama2-7B,26,6,26,1,8720.4,0.782,0.734,6.297,2052.2,2052.2,29.649,32.932,3.54,10772.6,0,5,6,2,4,True,10.0,2174.0,3.45,34.0,65.9,32,1.062,44.8,26.0,1.725,True,False,True,,1,8,5,0.125
Llama2-7B,26,6,13,2,5864.9,0.562,0.514,4.681,2052.2,2052.2,29.649,32.932,3.54,7917.1,0,5,6,2,4,True,10.0,2174.0,9.72,34.0,65.9,32,1.062,126.4,13.0,9.725,True,False,True,,1,8,5,0.125
Llama2-7B,26,6,2,13,1209.5,0.398,0.35,3.492,2052.2,2052.2,29.649,32.932,3.54,3261.7,0,5,6,2,4,True,10.0,2174.0,15.03,34.0,65.9,32,1.062,195.4,2.0,97.725,True,True,True,,1,8,5,0.125
Llama2-7B,26,6,1,26,611.7,0.392,0.344,3.453,2052.2,2052.2,29.649,32.932,3.54,2663.9,0,5,6,2,4,True,10.0,2174.0,15.52,34.0,65.9,32,1.062,201.7,1.0,201.725,True,True,True,,1,8,5,0.125
Llama2-13B,0,30,0,0,0.0,,,,4402.4,4402.4,14.796,19.189,1.829,4402.4,10,16,32,10,20,True,23.0,7587.0,,94.8,183.9,40,2.371,,,,True,False,True,,2,10,8,0.125
Llama2-13B,2,30,1,2,269.6,0.946,0.898,7.833,4402.4,4402.4,14.796,19.189,1.829,4672.1,10,16,32,10,20,True,23.0,7587.0,3.88,94.8,183.9,40,2.371,2.5,1.0,2.482,True,False,True,,2,10,8,0.125
Llama2-13B,3,29,1,3,302.3,0.83,0.782,6.986,4402.4,4402.4,15.235,19.189,1.883,4704.8,9,16,32,11,18,True,20.7,7587.0,7.92,94.8,183.9,40,2.371,7.6,1.0,7.602,True,False,True,,2,10,8,0.125
Llama2-13B,4,28,2,2,539.2,0.946,0.898,7.833,4402.4,4402.4,15.675,19.189,1.936,4941.7,8,16,32,12,16,True,18.4,7587.0,3.88,94.8,183.9,40,2.371,5.0,2.0,2.482,True,False,True,,2,10,8,0.125
Llama2-13B,4,28,1,4,327.2,0.755,0.707,6.455,4402.4,4402.4,15.675,19.189,1.936,4729.6,8,16,32,12,16,True,18.4,7587.0,9.94,94.8,183.9,40,2.371,12.7,1.0,12.722,True,False,True,,2,10,8,0.125
Llama2-13B,5,27,1,5,351.0,0.692,0.644,6.016,4402.4,4402.4,16.114,19.189,1.989,4753.5,7,16,32,13,14,True,16.1,7587.0,11.15,94.8,183.9,40,2.371,17.8,1.0,17.842,True,False,True,,2,10,8,0.125
Llama2-13B,6,26,3,2,808.8,0.946,0.898,7.833,4402.4,4402.4,16.553,19.189,2.043,5211.3,6,16,32,14,12,True,13.8,7587.0,3.88,94.8,183.9,40,2.371,7.4,3.0,2.482,True,False,True,,2,10,8,0.125
Llama2-13B,6,26,2,3,604.6,0.83,0.782,6.986,4402.4,4402.4,16.553,19.189,2.043,5007.1,6,16,32,14,12,True,13.8,7587.0,7.92,94.8,183.9,40,2.371,15.2,2.0,7.602,True,False,True,,2,10,8,0.125
