Model,Device number,Seqlen,Pipeline parallelism,Tensor parallelism,Phase,Total Latency (s),Throughput (tokens/s),Energy per Token (mJ),Total power (W)
Llama2-13B,20,1536,4,5,prefill,3.517445085607142,1768.1399967988718,158.69430523758086,416.4476384278037
Llama2-13B,20,1536,5,4,prefill,3.8286536409285694,2026.6367370041323,161.84334061606026,467.77542699228667
Llama2-13B,20,1536,10,2,prefill,4.832249865410714,3205.363555026514,138.25148769914654,574.6549814549659
Llama2-13B,20,1536,20,1,prefill,7.028887899607145,4392.433385384218,131.7621705078619,680.0219159595139
Llama2-13B,20,1536,40,1,prefill,12.563431102035716,4919.938205977839,126.64381862916171,688.2579697889337
Llama2-13B,20,1664,1,20,prefill,3.337702827995536,508.0009040214767,327.7279289185322,274.7739555698521
Llama2-13B,20,1664,2,10,prefill,3.40158938728125,996.2109277633384,187.74449719503352,302.2305038191103
Llama2-13B,20,1664,4,5,prefill,3.870990042741071,1743.5283995176917,158.99765958786796,411.1587042575607
Llama2-13B,20,1664,5,4,prefill,4.208132644339285,2000.474128214016,162.14618818197945,462.5298122255904
Llama2-13B,20,1664,10,2,prefill,5.303076020861607,3167.922167440299,138.64621172296157,569.710698743251
Llama2-13B,20,1664,20,1,prefill,7.698195491241074,4348.772993736718,132.35075044721316,676.5229311312485
Llama2-13B,20,1664,40,1,prefill,13.76594934720536,4868.999240634822,127.13315582761886,684.5703791278445
Llama2-13B,20,1792,1,20,prefill,3.6587760916875,500.1910469437823,328.02927253587706,270.2511935711468
Llama2-13B,20,1792,2,10,prefill,3.7275770016875,981.1462835979386,188.04077296869937,297.5917469489056
Llama2-13B,20,1792,4,5,prefill,4.233085399875,1719.9900974525392,159.29140143969428,406.11500388707645
Llama2-13B,20,1792,5,4,prefill,4.59616204775,1975.3945150801544,162.43942324943788,457.5096015202794
Llama2-13B,20,1792,10,2,prefill,5.782452576312499,3132.3659234797583,139.01805324451132,565.0179125383377
Llama2-13B,20,1792,20,1,prefill,8.376053482875003,4307.903653171809,132.88868178431284,673.2170142909137
Llama2-13B,20,1792,40,1,prefill,14.985217672375002,4821.159276023994,127.58070488011212,681.070354979972
Llama2-13B,20,1920,1,20,prefill,3.988207755379464,492.74817430137887,328.32289976981986,265.9731929955141
Llama2-13B,20,1920,2,10,prefill,4.061923016093751,966.7814546749416,188.3293323589632,293.1973087397465
Llama2-13B,20,1920,4,5,prefill,4.603539157008929,1697.4633463310868,159.5774269081186,401.3062376419793
Llama2-13B,20,1920,5,4,prefill,4.992549851160715,1951.3402444102765,162.7249419334943,452.70771464976985
