Model,Device number,Seqlen,Pipeline parallelism,Tensor parallelism,Phase,Total Latency (s),Throughput (tokens/s),Energy per Token (mJ),Total power (W)
Llama2-13B,20,2048,5,4,decoding,4.849397247749999,1869.898389707732,163.56900260999168,436.527004486984
Llama2-13B,20,2048,5,4,end2end,5.397462454571428,1928.1682288259667,163.0042129297148,448.0859150366799
Llama2-13B,20,2048,5,4,prefill,0.5480652068214286,2336.057102653608,159.05068516777652,528.9982888845504
Llama2-13B,20,2048,10,2,decoding,6.0588301763125,2987.1561043093348,140.40234340431005,546.0520534803516
Llama2-13B,20,2048,10,2,end2end,6.766447287214286,3066.049593362157,139.71019832441067,556.2805401776251
Llama2-13B,20,2048,10,2,prefill,0.7076171109017857,3618.304016731912,134.8651827651151,627.8799470585409
Llama2-13B,20,2048,20,1,decoding,8.698715882875,4146.393371904415,134.75659800480562,659.86239527557
Llama2-13B,20,2048,20,1,end2end,9.75701106614286,4232.87988784471,133.82264043890854,666.9638839589618
Llama2-13B,20,2048,20,1,prefill,1.058295183267857,4838.285499426767,127.28493747762911,716.6743047427052
Llama2-13B,20,2048,40,1,decoding,15.634090632375,4618.217789406264,129.40921763599098,666.3527221933381
Llama2-13B,20,2048,40,1,end2end,17.496747602714283,4728.18654699428,128.49496125805155,674.2316039249783
Llama2-13B,20,2048,40,1,prefill,1.862656970339286,5497.9678501104,122.09516661247544,729.383776046459
Llama2-13B,20,4096,1,20,decoding,10.202938423375,367.9487438160365,335.0069853946161,195.3587834145732
Llama2-13B,20,4096,1,20,end2end,11.065036278142856,396.3363147749992,333.7599071923298,211.736691233416
Llama2-13B,20,4096,1,20,prefill,0.862097854767857,595.0493114877384,325.0303597763263,326.3820459653154
Llama2-13B,20,4096,2,10,decoding,10.340540243375,725.158254063774,194.90699326650025,220.2684898953949
Llama2-13B,20,4096,2,10,end2end,11.222295501,779.9469455571059,193.68018643893,237.075287019836
Llama2-13B,20,4096,2,10,prefill,0.8817552576250001,1163.467786010428,185.09253864593865,354.72286689092334
Llama2-13B,20,4096,4,5,decoding,11.490411439749998,1299.6373852747545,166.87817067959054,315.9505315161644
Llama2-13B,20,4096,4,5,end2end,12.516597668285714,1386.9904706768953,165.56446263655783,334.68962151859955
Llama2-13B,20,4096,4,5,prefill,1.0261862285357142,1998.4620684918789,156.36850633532865,465.86325153564593
Llama2-13B,20,4096,5,4,decoding,12.2628495355,1514.987073563091,170.27380830742842,364.3572030529914
Llama2-13B,20,4096,5,4,end2end,13.392771949142857,1609.1375552453806,168.9297817675938,383.2935278049884
Llama2-13B,20,4096,5,4,prefill,1.129922413642857,2268.190927021409,159.52159598875124,515.8478010689672
Llama2-13B,20,4096,10,2,decoding,14.866854592624998,2480.3066984040174,148.123965161255,478.1336457731171
Llama2-13B,20,4096,10,2,end2end,16.31588081442857,2612.2461757238484,146.5252278221754,495.569414166347
Llama2-13B,20,4096,10,2,prefill,1.4490262218035714,3535.822516962668,135.33406644861822,617.6197929189567
Llama2-13B,20,4096,20,1,decoding,20.516904405750008,3559.780407016127,144.5551610665335,611.3498900201275
Llama2-13B,20,4096,20,1,end2end,22.66728677228572,3710.23545450098,142.44091881132655,623.6767589706474
Llama2-13B,20,4096,20,1,prefill,2.150382366535715,4763.420786894956,127.64122302487804,709.9648416242869
Llama2-13B,20,4096,40,1,decoding,37.24922190475,3931.419968777708,138.06940348983943,614.7187034613358
Llama2-13B,20,4096,40,1,end2end,41.064279205428576,4111.441216820385,136.17841972503226,627.9398246515727
Llama2-13B,20,4096,40,1,prefill,3.815057300678572,5371.589953119132,122.94153337138196,720.4876729832306
Llama2-70B,32,512,1,32,decoding,2.2630668345000005,169.87218119257815,1778.3582188561916,529.5520006399872
Llama2-70B,32,512,1,32,end2end,2.9559926860000005,173.5851232695308,1776.9034225121852,543.6664530283056
Llama2-70B,32,512,1,32,prefill,0.6929258515000002,184.7239495003889,1772.5390334801666,586.0098101932605
Llama2-70B,32,512,2,16,decoding,2.361095999625,325.60887787627456,1097.0534340256734,599.4921768777962
Llama2-70B,32,512,2,16,end2end,3.0866982395,332.4092527253069,1095.6245850413038,613.6866934374787
Llama2-70B,32,512,2,16,prefill,0.725602239875,352.8103772724038,1091.338038088195,656.2702431165258
Llama2-70B,32,512,4,8,decoding,2.6550281071874995,578.9976978558483,840.623368966998,744.0318450076343
Llama2-70B,32,512,4,8,end2end,3.4786077162499995,589.6673714262649,839.2074936624466,757.5783582327466
Llama2-70B,32,512,4,8,prefill,0.8235796090624999,621.676392137515,834.9598677487925,798.2178979080836
Llama2-70B,32,512,8,4,decoding,3.3336663466875,921.985364617304,736.657611566397,922.6026863462064
Llama2-70B,32,512,8,4,end2end,4.38345870225,935.3467717534292,735.2482231017547,933.5652121326636
Llama2-70B,32,512,8,4,prefill,1.0497923555625,975.4309931618048,731.0200577078277,966.4527894920352
Llama2-70B,32,512,16,2,decoding,4.69959979303125,1307.6860485835005,684.9356704546543,1080.4407146875394
Llama2-70B,32,512,16,2,end2end,6.204703297375,1320.9404768446211,683.5295254099666,1087.4476715841795
Llama2-70B,32,512,16,2,prefill,1.50510350434375,1360.703761627983,679.3110902759037,1108.4685422741
Llama2-70B,32,512,32,1,decoding,7.501591764796876,1638.2198426206216,664.7111328445968,1193.7910454876803
Llama2-70B,32,512,32,1,end2end,9.9406925930625,1648.4917247648011,663.4079474448821,1197.1849535837891
Llama2-70B,32,512,32,1,prefill,2.439100828265625,1679.3073711973395,659.4983912457378,1207.366677872115
Llama2-70B,32,512,80,1,decoding,21.72697650778125,1414.1454112707297,654.3847255982428,956.76457414866
Llama2-70B,32,512,80,1,end2end,28.740734970374994,1425.6059447377925,652.9683404506279,960.7361334001864
Llama2-70B,32,512,80,1,prefill,7.013758462593749,1459.987545138981,648.719185007783,972.6508111547662
Llama2-70B,32,1024,1,32,decoding,5.7118902405,157.7703673760423,1784.1778226596111,485.6100935547845
Llama2-70B,32,1024,1,32,end2end,6.404816092000001,161.1395651415856,1782.7229740121804,498.160058134594
Llama2-70B,32,1024,1,32,prefill,0.6929258515000002,184.7239495003889,1772.5390334801666,586.0098101932605
Llama2-70B,32,1024,2,16,decoding,5.940624959125,303.25870292457824,1102.769248390547,554.396251490574
Llama2-70B,32,1024,2,16,end2end,6.666227199000001,309.45266221805645,1101.3403471027532,567.1305004438179
Llama2-70B,32,1024,2,16,prefill,0.725602239875,352.8103772724038,1091.338038088195,656.2702431165258
Llama2-70B,32,1024,4,8,decoding,6.6264665434375,543.1728172793003,846.2872886125988,699.0908618935719
Llama2-70B,32,1024,4,8,end2end,7.450046152499999,552.985764136577,844.8713610046229,711.4817413953858
Llama2-70B,32,1024,4,8,prefill,0.8235796090624999,621.676392137515,834.9598677487925,798.2178979080836
Llama2-70B,32,1024,8,4,decoding,8.2099557689375,875.5106250466563,742.295583852361,884.1789547088891
Llama2-70B,32,1024,8,4,end2end,9.259748124500002,888.0006710610498,740.8861430842942,894.4631840567824
Llama2-70B,32,1024,8,4,prefill,1.0497923555625,975.4309931618048,731.0200577078277,966.4527894920352
Llama2-70B,32,1024,16,2,decoding,11.397133810406247,1259.6682369296143,690.5606690608,1054.604939601025
Llama2-70B,32,1024,16,2,end2end,12.90223731475,1272.2976775169104,689.1544717126881,1061.3378899351592
Llama2-70B,32,1024,16,2,prefill,1.50510350434375,1360.703761627983,679.3110902759037,1108.4685422741
Llama2-70B,32,1024,32,1,decoding,18.070610757859377,1588.0683803493048,673.2107781389049,1176.9315226232063
Llama2-70B,32,1024,32,1,end2end,20.509711586125004,1599.473254205309,671.4967297772589,1180.7359170293205
Llama2-70B,32,1024,32,1,prefill,2.439100828265625,1679.3073711973395,659.4983912457378,1207.366677872115
Llama2-70B,32,1024,80,1,decoding,52.16152011815624,1375.3301213623308,659.1994279029132,943.1512949172836
Llama2-70B,32,1024,80,1,end2end,59.17527858074999,1385.912299334412,657.8893975410219,946.8387344469688
Llama2-70B,32,1024,80,1,prefill,7.013758462593749,1459.987545138981,648.719185007783,972.6508111547662
Llama2-70B,32,2048,1,32,decoding,13.788862081,133.01277966049233,1802.5016256135275,396.2722306391475
Llama2-70B,32,2048,1,32,end2end,15.205177784,138.9904727745255,1798.938116626824,418.12352394609394
Llama2-70B,32,2048,1,32,prefill,1.4163157030000002,180.8343245727576,1773.9935537199,571.0825770947183
Llama2-70B,32,2048,2,16,decoding,14.24633151825,257.09424439063054,1120.8595251077352,460.8009156061749
Llama2-70B,32,2048,2,16,end2end,15.727999998,268.17027937993265,1117.3479108403048,483.3690241132326
Llama2-70B,32,2048,2,16,prefill,1.48166847975,345.70252430504775,1092.7666109682914,641.3457836626369
Llama2-70B,32,2048,4,8,decoding,15.618014686875002,467.2792378610689,864.2608022114222,601.1833275709483
Llama2-70B,32,2048,4,8,end2end,17.295637905,485.1929203070609,860.7751353036283,624.0539114258358
Llama2-70B,32,2048,4,8,prefill,1.6776232181249997,610.5886974290055,836.3754669490709,784.1479984100497
Llama2-70B,32,2048,8,4,decoding,18.784993137875,772.6254124445234,760.2107158920026,794.7485888717553
Llama2-70B,32,2048,8,4,end2end,20.915041849,796.2568694100328,756.7380226640269,814.8102926875661
Llama2-70B,32,2048,8,4,prefill,2.130048711125,961.677068168599,732.429170068197,955.2422193982418
Llama2-70B,32,2048,16,2,decoding,25.43034058081249,1136.7122717123004,711.269819038317,982.8579971456836
Llama2-70B,32,2048,16,2,end2end,28.4710115895,1163.0240271832108,707.4507115605672,997.676985987679
Llama2-70B,32,2048,16,2,prefill,3.0406710086875,1347.20631547958,680.7169592163184,1101.4099078816466
Llama2-70B,32,2048,32,1,decoding,39.04828583571876,1474.83124328609,696.7285501536822,1138.501518569272
Llama2-70B,32,2048,32,1,end2end,43.95695149225,1499.096036740012,692.2503111939939,1146.7112836498982
Llama2-70B,32,2048,32,1,prefill,4.908665656531251,1668.9495909174666,660.9026384761752,1204.179639214282
